입고/출고,IN/OUT,주문번호,품목별번호,코드,총금액,품목코드,품목명,속성,속성코드,수량,도매가격,소매가격,선택옵션,옵션가,보증기간,일자,시간 (HH:mm:ss),위치코드,거래처코드,메모
출고,OUT,EST-20250814-1001,1,P-005,,P-005,충전 드릴 18V,블루,C31,1,102000,138000,추가배터리,30000,24개월,2025-08-14,09:12:30,L03,PT001,판매
출고,OUT,EST-20250814-1001,2,P-006,,P-006,드릴 비트 세트(10P),10pcs,Q10,1,9000,12000,,0,6개월,2025-08-14,09:12:30,L03,PT001,판매
출고,OUT,EST-20250814-1002,1,P-003,,P-003,보안경,투명,C11,8,3000,5000,,0,3개월,2025-08-14,10:05:01,L02,PT002,판매
입고,IN,EST-20250814-1003,1,P-011,,P-011,"산업용 선풍기 18""",18인치,S18,2,69000,98000,바퀴세트,15000,12개월,2025-08-14,11:22:10,L03,PT006,입고
입고,IN,EST-20250814-1003,2,P-008,,P-008,멀티탭 4구,1.5m,L15,10,7000,12000,,0,12개월,2025-08-14,11:22:10,L01,PT006,입고
출고,OUT,EST-20250813-1004,1,P-001,,P-001,LED 작업등(18V),전구색,C01,1,38000,52000,추가배터리,15000,12개월,2025-08-13,14:01:45,L01,PT003,판매
출고,OUT,EST-20250813-1005,1,P-010,,P-010,케이블 타이(100P),흰색,WH,5,1500,2500,,0,없음,2025-08-13,15:31:00,L02,PT010,판매
입고,IN,EST-20250813-1006,1,P-014,,P-014,충전식 그라인더,18V,18V,3,120000,168000,커버,10000,24개월,2025-08-13,16:05:20,L03,PT007,입고
출고,OUT,EST-20250813-1007,1,P-009,,P-009,충전식 헤드랜턴,6500K,C65,2,29000,45000,추가밴드,3000,12개월,2025-08-13,16:45:00,L01,PT004,판매
출고,OUT,EST-20250813-1008,1,P-002,,P-002,스탠드 조명,주광색,C02,1,20000,35000,조립비,5000,6개월,2025-08-13,17:12:10,L01,PT008,판매
입고,IN,EST-20250812-1009,1,P-007,,P-007,절연테이프(흑),검정,BLK,100,600,900,,0,없음,2025-08-12,10:20:00,L02,PT005,입고
출고,OUT,EST-20250812-1010,1,P-012,,P-012,작업복 상의(L),L,SZL,2,18000,32000,,0,6개월,2025-08-12,11:02:02,L04,PT009,판매
출고,OUT,EST-20250812-1010,2,P-013,,P-013,작업복 하의(L),L,SZL,2,17000,30000,,0,6개월,2025-08-12,11:02:02,L04,PT009,판매
